first_batting,second_batting,ground_name,ball_number,current_ball_run,chasing_team_won,cumulative_runs,wickets_remaining
Royal Challengers Bangalore,Chennai Super Kings, Chennai,1,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,2,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,3,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,4,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,5,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,6,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,7,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,8,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,9,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,10,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,11,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,12,6,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,13, OUT,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,14,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,15,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,16,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,17,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,18,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,19,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,20,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,21,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,22,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,23,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,24,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,25,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,26,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,27,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,28,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,29,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,30,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,31,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,32,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,33,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,34,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,35,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,36,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,37,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,38,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,39,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,39,4,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,40,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,41,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,42,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,43,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,44,4,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,45,4,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,46,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,47,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,48,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,49,0,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,50,1,1,,
Royal Challengers Bangalore,Chennai Super Kings, Chennai,51,0,1,,
